id,emotion,order,blind_id,score,is_model_top,human_status,human_best
B009,sad,4,A,-2.373182195238769,False,preferred,D
B010,angry,1,D,-1.2633582605049014,True,preferred,"C,D"
B010,angry,2,B,-1.3254562340055902,False,preferred,"C,D"
B010,angry,3,C,-1.537019972068568,False,preferred,"C,D"
B010,angry,4,A,-1.7060478640099366,False,preferred,"C,D"
B011,angry,1,D,-1.3277568366999428,True,preferred,D
B011,angry,2,A,-1.4440493257716298,False,preferred,D
B011,angry,3,C,-1.5620654476806521,False,preferred,D
B011,angry,4,B,-1.8019607905298471,False,preferred,D
B012,happy,1,D,-2.309104500648876,True,preferred,D
B012,happy,2,A,-2.574225983892878,False,preferred,D
B012,happy,3,B,-2.7603706304604807,False,preferred,D
B012,happy,4,C,-2.905019046117862,False,preferred,D
B013,neutral,1,A,-1.2152507329980533,True,preferred,"B,C"
B013,neutral,2,C,-1.2491492760988574,False,preferred,"B,C"
B013,neutral,3,B,-1.2744482123137761,False,preferred,"B,C"
B013,neutral,4,D,-1.4703474572549264,False,preferred,"B,C"
B014,sad,1,C,-1.6116798254661262,True,preferred,"B,D"
B014,sad,2,A,-1.6566404308347653,False,preferred,"B,D"
B014,sad,3,D,-1.987447369998942,False,preferred,"B,D"
B014,sad,4,B,-2.1063064307284853,False,preferred,"B,D"
B015,neutral,1,C,-1.4708815929479897,True,preferred,C
B015,neutral,2,A,-1.75862417385603,False,preferred,C
B015,neutral,3,D,-1.8674443357934554,False,preferred,C
B015,neutral,4,B,-2.1778706891151765,False,preferred,C
B016,happy,1,D,-3.131534691900015,True,preferred,D
B016,happy,2,C,-3.7309054375315704,False,preferred,D
B016,happy,3,B,-3.8679627180099487,False,preferred,D
B016,happy,4,A,-4.125042394579698,False,preferred,D
B017,neutral,1,A,-2.8470773178463182,True,preferred,D
B017,neutral,2,C,-3.032807035682102,False,preferred,D
B017,neutral,3,D,-3.2483365380515656,False,preferred,D
B017,neutral,4,B,-3.5398680780393383,False,preferred,D
B018,angry,1,A,-2.3918903993132212,True,preferred,A
B018,angry,2,C,-2.5048507060855627,False,preferred,A
B018,angry,3,B,-2.838562023670723,False,preferred,A
B018,angry,4,D,-2.9000488800617554,False,preferred,A
B019,sad,1,B,-2.000111784475545,True,uncertain,
B019,sad,2,C,-2.1356717481588325,False,uncertain,
B019,sad,3,D,-2.1500124987214804,False,uncertain,
B019,sad,4,A,-2.160309510615965,False,uncertain,
B020,happy,1,D,-2.4142086943611503,True,preferred,"C,D"
B020,happy,2,B,-2.529777792903284,False,preferred,"C,D"
B020,happy,3,C,-2.642194465113183,False,preferred,"C,D"
B020,happy,4,A,-2.653682586736977,False,preferred,"C,D"
B021,sad,1,B,-1.6183781038659315,True,uncertain,
B021,sad,2,A,-1.6821640303047996,False,uncertain,
B021,sad,3,C,-1.6971840352440875,False,uncertain,
B021,sad,4,D,-1.8989459566461544,False,uncertain,
B022,neutral,1,B,-1.175855147652328,True,preferred,B
B022,neutral,2,D,-1.2582091776033242,False,preferred,B
B022,neutral,3,A,-1.3363017236503463,False,preferred,B
B022,neutral,4,C,-1.5231986418366432,False,preferred,B
B023,sad,1,A,-1.8974876509358485,True,preferred,"A,C,D"
B023,sad,2,D,-1.9280359965438645,False,preferred,"A,C,D"
B023,sad,3,C,-2.0103896617268524,False,preferred,"A,C,D"
B023,sad,4,B,-2.1300993881498775,False,preferred,"A,C,D"
B024,neutral,1,B,-2.111795473843813,True,all_bad,
B024,neutral,2,D,-2.3174221124500036,False,all_bad,
B024,neutral,3,C,-2.348504802056899,False,all_bad,
B024,neutral,4,A,-2.7543452767034373,False,all_bad,
B025,angry,1,C,-1.0116304469605286,True,preferred,C
B025,angry,2,B,-1.13567438069731,False,preferred,C
B025,angry,3,A,-1.2472346139450867,False,preferred,C
B025,angry,4,D,-1.732179532603671,False,preferred,C
B026,angry,1,D,-1.293845641426742,True,preferred,B
B026,angry,2,B,-1.3670878081272047,False,preferred,B
B026,angry,3,C,-1.3705901879196365,False,preferred,B
B026,angry,4,A,-1.5209371400997043,False,preferred,B
B027,happy,1,C,-1.8093051053583622,True,preferred,D
B027,happy,2,B,-1.962006983347237,False,preferred,D
B027,happy,3,A,-2.1557007677232227,False,preferred,D
B027,happy,4,D,-2.514957370624567,False,preferred,D
B028,happy,1,C,-2.3482428525264063,True,all_bad,
B028,happy,2,D,-2.4205895302196345,False,all_bad,
B028,happy,3,A,-2.5571895708950856,False,all_bad,
B028,happy,4,B,-2.617924088612199,False,all_bad,
B029,happy,1,B,-1.9441840803871553,True,preferred,"C,D"
B029,happy,2,C,-2.5167609124133983,False,preferred,"C,D"
B029,happy,3,D,-2.5491144312545657,False,preferred,"C,D"
B029,happy,4,A,-2.632531311828643,False,preferred,"C,D"
B030,angry,1,C,-2.1531936523194113,True,all_bad,
B030,angry,2,D,-2.1931771732245884,False,all_bad,
B030,angry,3,A,-2.2192529117067656,False,all_bad,
B030,angry,4,B,-2.3786695866535106,False,all_bad,
